CO_IES,NM_IES,CATEG_ADM,CO_UF,NM_UF,NM_REGIAO
745,IMESSM,Pública Municipal,35,SP,Sudeste
746,URCA,Pública Estadual,23,CE,Nordeste
749,CESVALE,Privada com fins lucrativos,22,PI,Nordeste
750,UNIRG,Pública Municipal,17,TO,Norte
752,FAPAM,Privada sem fins lucrativos,31,MG,Sudeste
753,FACHUSC,Pública Municipal,26,PE,Nordeste
754,CESUC,Privada sem fins lucrativos,52,GO,Centro-Oeste
755,CESUT,Privada sem fins lucrativos,52,GO,Centro-Oeste
756,UESPI,Pública Estadual,22,PI,Nordeste
757,ISES,Privada com fins lucrativos,15,PA,Norte
759,SEFLU,Privada sem fins lucrativos,33,RJ,Sudeste
760,FCHPE,Privada com fins lucrativos,26,PE,Nordeste
761,FACSPEI,Privada sem fins lucrativos,41,PR,Sul
763,IUESO,Privada sem fins lucrativos,52,GO,Centro-Oeste
764,FAPG,Privada sem fins lucrativos,33,RJ,Sudeste
769,FINAV,Privada sem fins lucrativos,50,MS,Centro-Oeste
778,ETEP,Privada com fins lucrativos,35,SP,Sudeste
779,FAP,Privada sem fins lucrativos,50,MS,Centro-Oeste
780,UNIC / PITÁGORAS,Privada com fins lucrativos,51,MT,Centro-Oeste
781,FAR,Privada com fins lucrativos,51,MT,Centro-Oeste
785,FACEDUTS,Privada com fins lucrativos,51,MT,Centro-Oeste
788,FARO,Privada sem fins lucrativos,11,RO,Norte
789,UFRR,Pública Federal,14,RR,Norte
790,FICSAE,Privada sem fins lucrativos,35,SP,Sudeste
792,CESUPA,Privada sem fins lucrativos,15,PA,Norte
794,UNIVAG,Privada sem fins lucrativos,51,MT,Centro-Oeste
795,FID,Privada sem fins lucrativos,51,MT,Centro-Oeste
796,EDUVALE,Privada com fins lucrativos,51,MT,Centro-Oeste
797,AVEC,Privada sem fins lucrativos,11,RO,Norte
798,FAACZ,Privada sem fins lucrativos,32,ES,Sudeste
801,FAM,Privada sem fins lucrativos,29,BA,Nordeste
802,UNICARIOCA,Privada sem fins lucrativos,33,RJ,Sudeste
803,FIA,Privada sem fins lucrativos,35,SP,Sudeste
809,FADILESTE,Privada sem fins lucrativos,31,MG,Sudeste
810,CTESOP,Privada com fins lucrativos,41,PR,Sul
823,UNICEUMA,Privada sem fins lucrativos,21,MA,Nordeste
825,FAGAMMON,Privada sem fins lucrativos,31,MG,Sudeste
826,UNIDESC,Privada sem fins lucrativos,52,GO,Centro-Oeste
829,UNITINS,Pública Estadual,17,TO,Norte
830,UNIFAP,Pública Federal,16,AP,Norte
831,FCHVRG,Privada com fins lucrativos,35,SP,Sudeste
832,FAC,Privada sem fins lucrativos,31,MG,Sudeste
833,FIAR,Privada sem fins lucrativos,11,RO,Norte
838,FCTFOR,Privada sem fins lucrativos,23,CE,Nordeste
839,FAVI,Privada sem fins lucrativos,32,ES,Sudeste
840,FAVI,Privada sem fins lucrativos,32,ES,Sudeste
843,FATEB,Pública Municipal,35,SP,Sudeste
845,FAC-FEA,Pública Municipal,35,SP,Sudeste
846,FAT,Privada sem fins lucrativos,22,PI,Nordeste
847,FPPD,Privada sem fins lucrativos,22,PI,Nordeste
848,FPPD,Privada sem fins lucrativos,25,PB,Nordeste
849,FAJE,Privada sem fins lucrativos,31,MG,Sudeste
852,FIAP,Privada com fins lucrativos,35,SP,Sudeste
861,CEAP,Privada sem fins lucrativos,16,AP,Norte
862,FESCG,Privada com fins lucrativos,50,MS,Centro-Oeste
873,UNIFOZ,Privada com fins lucrativos,41,PR,Sul
874,FESAV,Privada sem fins lucrativos,32,ES,Sudeste
877,FEPI,Privada sem fins lucrativos,41,PR,Sul
878,UNILESTEMG,Privada sem fins lucrativos,31,MG,Sudeste
881,IMESA,Pública Municipal,35,SP,Sudeste
886,FACH,Privada sem fins lucrativos,35,SP,Sudeste
890,EG,Pública Estadual,31,MG,Sudeste
898,FACEAS,Privada sem fins lucrativos,35,SP,Sudeste
900,FATEC,Privada sem fins lucrativos,11,RO,Norte
905,FACEPD,Privada com fins lucrativos,35,SP,Sudeste
906,FECGS,Privada sem fins lucrativos,35,SP,Sudeste
908,FAA,Privada sem fins lucrativos,27,AL,Nordeste
909,FABEL,Privada sem fins lucrativos,33,RJ,Sudeste
910,FCACSL,Privada sem fins lucrativos,35,SP,Sudeste
913,FIPAR,Privada sem fins lucrativos,50,MS,Centro-Oeste
915,FAFS,Privada sem fins lucrativos,50,MS,Centro-Oeste
916,ESTÁCIO TERESINA,Privada com fins lucrativos,22,PI,Nordeste
917,FACINAV,Privada sem fins lucrativos,50,MS,Centro-Oeste
918,FCSAC,Privada com fins lucrativos,41,PR,Sul
922,FCGD,Privada sem fins lucrativos,35,SP,Sudeste
923,FACCSR,Privada sem fins lucrativos,35,SP,Sudeste
939,CATÓLICA DE ANÁPOLIS,Privada sem fins lucrativos,52,GO,Centro-Oeste
940,FAMAG,Privada sem fins lucrativos,50,MS,Centro-Oeste
944,ESPM,Privada sem fins lucrativos,33,RJ,Sudeste
945,INCISOH,Privada sem fins lucrativos,31,MG,Sudeste
952,UNISANTA,Privada sem fins lucrativos,35,SP,Sudeste
953,UNIMES,Privada sem fins lucrativos,35,SP,Sudeste
967,FATEC/TQ,Pública Estadual,35,SP,Sudeste
976,FIP,Privada sem fins lucrativos,50,MS,Centro-Oeste
